Order_ID,Customer_ID,Customer_Name,Email,Order_Date,Product,Category,Quantity,Unit_Price,Total_Amount,City,Payment_Method,Order_Status
ORD-0707,CUST-1074,Vikas Kumar,vikas.kumar178@gmail.com,2025-04-12,Python Basics,Books,4,₹ 2499,"INR 9,996",Jaipur,credit card,shipped
ORD-0947,CUST-1109,Sneha Mishra,sneha.mishra951@gmail.com,19/03/2025,Face Wash,Beauty,1,2499,₹ 2499,Mumbai,Debit Card,Pending
ORD-0352,CUST-1043,Rahul Mishra,rahul.mishra616@gmail.com,2025-03-24,Face Wash,Beauty,2,199,₹398,Jaipur,Credit Card,Delivered
ORD-0067,CUST-1170,Karan Mehta,karan.mehta338@gmail.com,10/12/2025,Face Wash,Beauty,4,INR 599,"2,396",Bengaluru,COD,shipped
ORD-0278,CUST-1237,Simran Mishra,simran.mishra611@gmail.com,"Sep 25, 2025",Cap,Fashion,4,₹199,₹ 796,delhi,Credit Card,delivered
ORD-0068,CUST-1106,Rohan Mehta,rohan.mehta268@gmail.com,15/06/2025,Perfume,Beauty,1,₹ 999,999,Delhi,cod,Cancelled
ORD-0906,CUST-1005,Ananya Kumar,ananya.kumar612@gmail.com,16-07-2025,Wireless Mouse,Electronics,4,₹199,₹796,mumbai ,Cash on Delivery,Cancelled
ORD-0733,CUST-1209,Rahul Gupta,rahul.gupta878@gmail.com,26/04/2025,Hoodie,Fashion,1,INR 599,₹ 599,Lucknow,Cash on Delivery,shipped
ORD-0817,CUST-1037,Aarav Gupta,aarav.gupta898@gmail.com,"Jan 12, 2025",Hoodie,Fashion,4,399,"1,596",jaipur ,Credit Card,delivered
ORD-0297,CUST-1178,Aarav Mehta,aarav.mehta785@gmail.com,2025-09-29,Data Analytics,Books,6,₹599,"₹3,594",jaipur ,credit card,Shipped
ORD-0618,CUST-1096,Karan Sharma,karan.sharma261@gmail.com,31-08-2025,Water Bottle,Home,2,999,1998,delhi,upi,shipped
ORD-0598,CUST-1122,Rahul Mehta,rahul.mehta691@gmail.com,19-02-2025,Body Lotion,Beauty,6,1599,"INR 9,594",Pune,COD,pending
ORD-0815,CUST-1072,Karan Mehta,karan.mehta76@gmail.com,12-06-2025,USB Cable,Electronics,4,399,₹ 1596,Mumbai,COD,delivered
ORD-0798,CUST-1063,Rohan Yadav,rohan.yadav867@gmail.com,2025-11-01,Wireless Mouse,Electronics,6,"₹1,599","INR 9,594",Bangalore,Credit Card,delivered
ORD-0424,CUST-1060,Nitin Sharma,nitin.sharma78@gmail.com,18-07-2025,Excel Guide,Books,1,999,₹999,Delhi,Debit Card,pending
ORD-0757,CUST-1213,Neha Sharma,neha.sharma442@gmail.com,"Sep 11, 2025",Headphones,Electronics,2,"INR 1,299","2,598",New Delhi,debit card,Shipped
ORD-0313,CUST-1128,Rohan Yadav,rohan.yadav464@gmail.com,"Oct 21, 2025",SQL Handbook,Books,4,₹399,₹ 1596,Pune,debit card,delivered
ORD-0185,CUST-1067,Sneha Mehta,sneha.mehta804@gmail.com,"May 25, 2025",Data Analytics,Books,4,₹ 399,1596,jaipur ,debit card,shipped
ORD-0333,CUST-1166,Rohan Gupta,rohan.gupta696@gmail.com,,AI Fundamentals,Books,1,₹ 1999,"₹1,999",Mumbai,cod,pending
ORD-0089,CUST-1176,Ananya Sharma,ananya.sharma716@gmail.com,2025-07-09,USB Cable,Electronics,5,₹ 799,₹ 3995,Mumbai,debit card,delivered
ORD-0064,CUST-1242,Ananya Mishra,ananya.mishra776@gmail.com,19-10-2025,Water Bottle,Home,1,₹ 299,₹299,Pune,Debit Card,pending
ORD-0830,CUST-1215,Rahul Jain,rahul.jain246@gmail.com,2025-02-20,Wall Clock,Home,3,1299,"₹3,897",jaipur ,Cash on Delivery,shipped
ORD-0803,CUST-1073,Priya Kumar,priya.kumar121@gmail.com,23/02/2025,Headphones,Electronics,6,799,4794,Bangalore,UPI,Shipped
ORD-0216,CUST-1100,Rahul Mehta,rahul.mehta130@gmail.com,03-05-2025,AI Fundamentals,Books,1,"₹1,999","INR 1,999",Bangalore,Credit Card,cancelled
ORD-0604,CUST-1102,Rahul Singh,rahul.singh774@gmail.com,06-11-2025,Sneakers,Fashion,2,₹399,₹ 798,pune,UPI,Delivered
ORD-0548,CUST-1127,Sneha Gupta,sneha.gupta427@gmail.com,27-02-2025,Hoodie,Fashion,4,₹399,₹ 1596,New Delhi,cod,DELIVERED
ORD-0291,CUST-1047,Priya Mehta,priya.mehta753@gmail.com,"Apr 24, 2025",Power Bank,Electronics,6,"1,599",9594,mumbai ,Credit Card,cancelled
ORD-0787,CUST-1123,Simran Singh,simran.singh217@gmail.com,"Mar 13, 2025",Power Bank,Electronics,6,599,₹ 3594,delhi,Debit Card,Pending
ORD-0887,CUST-1018,Aditya Patel,aditya.patel804@gmail.com,04-12-2025,Perfume,Beauty,6,INR 299,"1,794",Jaipur,debit card,pending
ORD-0963,CUST-1181,Vikas Mehta,vikas.mehta319@gmail.com,14/09/2025,SQL Handbook,Books,4,"INR 1,999",7996,Bengaluru,Cash on Delivery,pending
ORD-0942,CUST-1034,Ananya Yadav,ananya.yadav429@gmail.com,2025-04-24,Bedsheet,Home,6,199,"INR 1,194",jaipur ,upi,Pending
ORD-0741,CUST-1143,Sneha Yadav,sneha.yadav75@gmail.com,23/09/2025,USB Cable,Electronics,5,"INR 1,299","₹6,495",delhi,Credit Card,Delivered
ORD-0681,CUST-1058,Sneha Sharma,sneha.sharma393@gmail.com,2025-03-13,Shampoo,Beauty,4,999,"₹3,996",Pune,debit card,Pending
ORD-0694,CUST-1174,Aditya Singh,aditya.singh191@gmail.com,31/05/2025,Jeans,Fashion,2,199,₹ 398,delhi,upi,Delivered
ORD-0989,CUST-1206,Karan Patel,karan.patel864@gmail.com,"Feb 24, 2025",Hoodie,Fashion,2,₹299,598,jaipur ,upi,pending
ORD-0310,CUST-1133,Aarav Singh,aarav.singh277@gmail.com,02-12-2025,Face Wash,Beauty,4,₹999,3996,Lucknow,credit card,Pending
ORD-0087,CUST-1078,Nitin Yadav,nitin.yadav941@gmail.com,25-12-2025,Data Analytics,Books,6,₹ 249,"₹1,494",delhi,UPI,Delivered
ORD-0849,CUST-1067,Neha Jain,neha.jain241@gmail.com,29/03/2025,Wireless Mouse,Electronics,2,INR 249,498,pune,UPI,Delivered
ORD-0785,CUST-1097,Rohan Jain,rohan.jain261@gmail.com,"Aug 21, 2025",Data Analytics,Books,1,₹299,299,delhi,UPI,delivered
ORD-0311,CUST-1165,Nitin Gupta,nitin.gupta503@gmail.com,"Jun 27, 2025",AI Fundamentals,Books,1,INR 799,799,Jaipur,UPI,Delivered
ORD-0536,CUST-1145,Simran Gupta,simran.gupta39@gmail.com,03-03-2025,Hoodie,Fashion,2,₹ 999,"₹1,998",Jaipur,debit card,Cancelled
ORD-0137,CUST-1133,Sneha Mehta,sneha.mehta417@gmail.com,10-06-2025,Face Wash,Beauty,5,INR 299,"₹1,495",Delhi,Credit Card,Cancelled
ORD-0871,CUST-1057,Nitin Patel,nitin.patel168@gmail.com,14-02-2025,Bedsheet,Home,3,"INR 1,299","INR 3,897",Bengaluru,upi,shipped
ORD-0466,CUST-1088,Aditya Jain,aditya.jain254@gmail.com,2025-11-14,Cap,Fashion,4,799,"INR 3,196",Pune,Cash on Delivery,delivered
ORD-0896,CUST-1210,Aarav Mehta,aarav.mehta441@gmail.com,2025-05-14,Body Lotion,Beauty,6,199,"₹1,194",delhi,credit card,cancelled
ORD-0262,CUST-1217,Neha Verma,neha.verma950@gmail.com,15/06/2025,Cap,Fashion,2,₹299,INR 598,Jaipur,Credit Card,delivered
ORD-0487,CUST-1023,Aarav Sharma,aarav.sharma644@gmail.com,17/02/2025,Bedsheet,Home,3,399,"INR 1,197",Jaipur,upi,delivered
ORD-0169,CUST-1095,Rohan Yadav,rohan.yadav324@gmail.com,"Mar 23, 2025",Jeans,Fashion,1,1999,"1,999",Lucknow,upi,shipped
ORD-0828,CUST-1246,Aarav Sharma,aarav.sharma36@gmail.com,20-03-2025,Shampoo,Beauty,1,799,799,Bangalore,debit card,DELIVERED
ORD-0448,CUST-1182,Aditya Mishra,aditya.mishra372@gmail.com,"Mar 08, 2025",Excel Guide,Books,3,1299,₹ 3897,Pune,Credit Card,Shipped
ORD-0140,CUST-1080,Priya Yadav,priya.yadav36@gmail.com,04-07-2025,Water Bottle,Home,2,₹ 299,598,delhi,upi,delivered
ORD-0683,CUST-1085,Karan Gupta,karan.gupta981@gmail.com,20/07/2025,AI Fundamentals,Books,5,799,₹ 3995,Mumbai,COD,delivered
ORD-0771,CUST-1198,Ananya Yadav,ananya.yadav382@gmail.com,21-06-2025,Python Basics,Books,4,₹299,"₹1,196",jaipur ,UPI,cancelled
ORD-0853,CUST-1182,Priya Yadav,priya.yadav117@gmail.com,2025-06-24,Keyboard,Electronics,4,799,3196,pune,debit card,shipped
ORD-0441,CUST-1160,Karan Kumar,karan.kumar326@gmail.com,17-08-2025,Table Lamp,Home,6,INR 199,"₹1,194",delhi,credit card,Delivered
ORD-0999,CUST-1002,Rahul Kumar,rahul.kumar523@gmail.com,10/12/2025,Body Lotion,Beauty,6,2499,₹ 14994,delhi,Debit Card,shipped
ORD-0531,CUST-1089,Nitin Mehta,nitin.mehta417@gmail.com,"Mar 17, 2025",AI Fundamentals,Books,5,199,₹ 995,Bangalore,UPI,shipped
ORD-0056,CUST-1186,Simran Gupta,simran.gupta333@gmail.com,2025-03-03,Sneakers,Fashion,2,INR 249,INR 498,Lucknow,COD,shipped
ORD-0121,CUST-1210,Neha Mishra,neha.mishra461@gmail.com,25-08-2025, bedsheet ,Home,4,₹ 399,1596,pune,Cash on Delivery,DELIVERED
ORD-0528,CUST-1231,Ananya Yadav,ananya.yadav927@gmail.com,2025-05-29,Excel Guide,Books,6,2499,₹ 14994,Bangalore,upi,Cancelled
ORD-0026,CUST-1176,Rohan Patel,rohan.patel169@gmail.com,20-05-2025,Keyboard,Electronics,3,249,INR 747,Lucknow,debit card,Shipped
ORD-0073,CUST-1117,Vikas Verma,vikas.verma467@gmail.com,"Oct 03, 2025",Cap,Fashion,5,,"9,995",pune,cod,pending
ORD-0045,CUST-1165,Vikas Verma,vikas.verma647@gmail.com,01/10/2025,Hoodie,Fashion,6,₹ 299,1794,Jaipur,UPI,delivered
ORD-0250,CUST-1079,Rahul Yadav,rahul.yadav487@gmail.com,"Jun 10, 2025",Python Basics,Books,2,₹249,498,Bangalore,credit card,Cancelled
ORD-0395,CUST-1198,Rahul Gupta,rahul.gupta927@gmail.com,"May 09, 2025",Face Wash,Beauty,5,₹999,"₹4,995",Lucknow,credit card,pending
ORD-0933,CUST-1071,Nitin Singh,nitin.singh372@gmail.com,2025-02-10,Keyboard,Electronics,3,"₹2,499","7,497",delhi,cod,Pending
ORD-0997,CUST-1185,Simran Singh,simran.singh355@gmail.com,23-11-2025,Python Basics,Books,4,₹ 1299,₹ 5196,Delhi,Credit Card,shipped
ORD-0958,CUST-1160,Ananya Gupta,ananya.gupta214@gmail.com,22/12/2025,Wall Clock,Home,1,199,₹ 199,Bangalore,upi,Delivered
ORD-0199,CUST-1143,Ananya Yadav,ananya.yadav378@gmail.com,19/05/2025,T-Shirt,Fashion,1,INR 199,₹199,delhi,Cash on Delivery,Cancelled
ORD-0540,CUST-1129,Ananya Mehta,ananya.mehta807@gmail.com,"Sep 06, 2025",Water Bottle,Home,2,"1,299","INR 2,598",New Delhi,credit card,DELIVERED
ORD-0356,CUST-1108,Sneha Singh,sneha.singh105@gmail.com,2025-09-04,AI Fundamentals,Books,1,1299,1299,Delhi,Cash on Delivery,cancelled
ORD-0324,CUST-1178,Rohan Mishra,rohan.mishra898@gmail.com,2025-12-12,Python Basics,Books,3,999,₹ 2997,Mumbai,cod,shipped
ORD-0946,CUST-1185,Rohan Jain,rohan.jain681@gmail.com,2025-07-25,Water Bottle,Home,3,"2,499","₹7,497",New Delhi,upi,cancelled
ORD-0768,CUST-1180,Karan Sharma,karan.sharma641@gmail.com,13/04/2025,Headphones,Electronics,2,₹299,₹ 598,Bengaluru,cod,shipped
ORD-0236,CUST-1068,Karan Mehta,karan.mehta569@gmail.com,2025-12-16,Jeans,Fashion,4,₹ 1599,"₹6,396",Delhi,upi,Delivered
ORD-0977,CUST-1120,Neha Kumar,neha.kumar222@gmail.com,25-06-2025,Data Analytics,Books,6,₹799,4794,Mumbai,Debit Card,Shipped
ORD-0945,CUST-1059,Sneha Singh,sneha.singh523@gmail.com,"Jul 23, 2025",Water Bottle,Home,1,₹199,INR 199,mumbai ,Debit Card,Delivered
ORD-0939,CUST-1199,Karan Singh,karan.singh190@gmail.com,26-08-2025,Body Lotion,Beauty,2,"₹1,999","3,998",Lucknow,Cash on Delivery,DELIVERED
ORD-0903,CUST-1200,Sneha Gupta,sneha.gupta516@gmail.com,28-12-2025,Wireless Mouse,Electronics,1,INR 499,₹ 499,Lucknow,Debit Card,Pending
ORD-0300,CUST-1160,Aditya Patel,aditya.patel183@gmail.com,05-03-2025,Table Lamp,Home,6,₹199,₹ 1194,jaipur ,Debit Card,cancelled
ORD-0061,CUST-1062,Aditya Sharma,aditya.sharma634@gmail.com,2025-02-20,SQL Handbook,Books,3,"INR 1,599","4,797",jaipur ,upi,DELIVERED
ORD-0328,CUST-1201,Neha Mishra,neha.mishra62@gmail.com,17-11-2025,Shampoo,Beauty,1,₹ 299,299,pune,debit card,delivered
ORD-0527,CUST-1250,Aarav Jain,aarav.jain963@gmail.com,2025-09-13,Storage Box,Home,3,₹ 249,747,delhi,UPI,cancelled
ORD-0599,CUST-1088,Rohan Jain,rohan.jain840@gmail.com,2025-07-08,Cap,Fashion,5,₹ 799,₹ 3995,New Delhi,UPI,cancelled
ORD-0814,CUST-1188,Vikas Singh,vikas.singh367@gmail.com,"Aug 27, 2025",Face Wash,Beauty,2,799,₹ 1598,New Delhi,upi,DELIVERED
ORD-0936,CUST-1157,Nitin Singh,nitin.singh983@gmail.com,2025-09-22,Body Lotion,Beauty,2,₹399,₹ 798,New Delhi,COD,cancelled
ORD-0981,CUST-1042,Ananya Sharma,ananya.sharma961@gmail.com,30/04/2025,Hoodie,Fashion,6,₹ 799,₹ 4794,mumbai ,Cash on Delivery,Delivered
ORD-0596,CUST-1066,Nitin Kumar,nitin.kumar340@gmail.com,29/01/2025,Data Analytics,Books,2,199,398,Bengaluru,upi,pending
ORD-0542,CUST-1033,Simran Mehta,simran.mehta152@gmail.com,15-08-2025,USB Cable,Electronics,3,INR 499,"1,497",Delhi,upi,Shipped
ORD-0781,CUST-1138,Neha Sharma,neha.sharma650@gmail.com,06-01-2025,Wall Clock,Home,5,INR 499,"2,495",delhi,Debit Card,Delivered
ORD-0306,CUST-1218,Rahul Sharma,rahul.sharma882@gmail.com,29-05-2025,Hoodie,Fashion,1,249,₹ 249,Lucknow,upi,delivered
